,Date,Close
2100,2019-01-29,3432.22
2101,2019-01-30,3413.38
2102,2019-01-31,3457.88
2103,2019-02-01,3431.94
2104,2019-02-02,3464.49
2105,2019-02-03,3486.58
2106,2019-02-04,3454.03
2107,2019-02-05,3464.0
2108,2019-02-06,3469.89
2109,2019-02-07,3405.84
2110,2019-02-08,3394.01
2111,2019-02-09,3664.28
2112,2019-02-10,3667.41
2113,2019-02-11,3675.69
2114,2019-02-12,3631.44
2115,2019-02-13,3633.97
2116,2019-02-14,3610.06
2117,2019-02-15,3589.66
2118,2019-02-16,3601.23
2119,2019-02-17,3622.59
2120,2019-02-18,3665.08
2121,2019-02-19,3886.52
2122,2019-02-20,3915.01
2123,2019-02-21,3976.81
2124,2019-02-22,3934.81
2125,2019-02-23,3973.64
2126,2019-02-24,4115.34
2127,2019-02-25,3742.87
2128,2019-02-26,3824.68
2129,2019-02-27,3809.21
2130,2019-02-28,3813.38
2131,2019-03-01,3815.61
2132,2019-03-02,3815.75
2133,2019-03-03,3819.65
2134,2019-03-04,3806.95
2135,2019-03-05,3712.81
2136,2019-03-06,3852.46
2137,2019-03-07,3860.51
2138,2019-03-08,3871.64
2139,2019-03-09,3861.88
2140,2019-03-10,3941.6
2141,2019-03-11,3923.56
2142,2019-03-12,3860.36
2143,2019-03-13,3876.48
2144,2019-03-14,3865.82
2145,2019-03-15,3876.7
2146,2019-03-16,3925.46
2147,2019-03-17,4007.71
2148,2019-03-18,3980.99
2149,2019-03-19,3986.71
2150,2019-03-20,4013.58
2151,2019-03-21,4045.57
2152,2019-03-22,3983.32
2153,2019-03-23,3989.16
2154,2019-03-24,4008.95
2155,2019-03-25,3993.39
2156,2019-03-26,3927.58
2157,2019-03-27,3938.66
2158,2019-03-28,4036.16
2159,2019-03-29,4028.39
2160,2019-03-30,4103.32
2161,2019-03-31,4103.86
2162,2019-04-01,4103.52
2163,2019-04-02,4146.32
2164,2019-04-03,4862.23
2165,2019-04-04,4955.83
2166,2019-04-05,4899.02
2167,2019-04-06,5014.96
2168,2019-04-07,5041.87
2169,2019-04-08,5176.98
2170,2019-04-09,5266.89
2171,2019-04-10,5172.18
2172,2019-04-11,5308.91
2173,2019-04-12,5047.79
2174,2019-04-13,5082.47
2175,2019-04-14,5072.99
2176,2019-04-15,5149.31
2177,2019-04-16,5039.88
2178,2019-04-17,5213.6
2179,2019-04-18,5218.96
2180,2019-04-19,5274.77
2181,2019-04-20,5280.35
2182,2019-04-21,5307.69
2183,2019-04-22,5311.16
2184,2019-04-23,5380.94
2185,2019-04-24,5557.93
2186,2019-04-25,5452.1
2187,2019-04-26,5203.09
2188,2019-04-27,5295.85
2189,2019-04-28,5256.98
2190,2019-04-29,5257.8
2191,2019-04-30,5199.76
2192,2019-05-01,5292.8
2193,2019-05-02,5354.59
2194,2019-05-03,5450.71
2195,2019-05-04,5731.49
2196,2019-05-05,5803.94
2197,2019-05-06,5749.32
2198,2019-05-07,5715.76
2199,2019-05-08,5841.05
2200,2019-05-09,5957.86
2201,2019-05-10,6168.27
2202,2019-05-11,6370.23
2203,2019-05-12,7258.26
2204,2019-05-13,6953.75
2205,2019-05-14,7805.98
2206,2019-05-15,7990.06
2207,2019-05-16,8192.22
2208,2019-05-17,7875.91
2209,2019-05-18,7343.37
2210,2019-05-19,7300.66
2211,2019-05-20,8168.73
2212,2019-05-21,7976.85
2213,2019-05-22,7958.37
2214,2019-05-23,7665.8
2215,2019-05-24,7861.81
2216,2019-05-25,7977.24
2217,2019-05-26,8037.63
2218,2019-05-27,8631.08
2219,2019-05-28,8816.03
2220,2019-05-29,8726.98
2221,2019-05-30,8650.68
2222,2019-05-31,8310.89
2223,2019-06-01,8575.65
